State, Name, RUSNo, Locations, Annual, 10 Year
AR,Arkansas_Valley_Electric_Cooperative,20377,10833491,108334910,AR013
AR,Ashley_Chicot_Electric_Cooperative,5284,3452652,34526520,AR031
AR,Farmers_Electric_Cooperative,2491,1838585,18385850,AR011
AR,First_Electric_Cooperative,18782,9586932,95869320,AR010
AR,Mississippi_County_Electric,1986,1315953,13159530,AR023
AR,North_Arkansas_Electric_Cooperative,9847,4055057,40550570,AR026
AR,OzarksGo,4441,1099729,10997290,AR024
AR,Petit_Jean_Electric_Cooperative,4625,3698278,36982780,AR028
AR,South_Central_Arkansas_Electric_Cooperative,4576,3430481,34304810,AR029
AR,Southwest_Arkansas_Electric_Cooperative,6671,3228885,32288850,AR012
AR,Woodruff_Electric_Cooperative_Corporation,11853,7729169,77291690,AR015
CO,Delta_Montrose_Electric_Association,3954,1687582,16875820,CO020
CO,Holy_Cross_Energy,3246,1964094,19640940,CO034
GA,Central_Georgia_Electric_Membership_Corporation,9819,2611982,26119820,GA058
GA,Satilla_Rural_Electric_Membership_Coorporation,11962,6399727,63997270,GA067
GA,Tri_County_Electric_Membership_Corporation,2754,980038,9800380,GA094
IL,Corn_Belt_Energy_Corporation,6013,6748353,67483530,IL038
IL,Shelby_Electric_Cooperative,6280,7694923,76949230,IL029
KY,Kenergy,17324,9057328,90573280,KY065
MD,Southern_Maryland_Electric_Cooperative,4427,1239468,12394680,MD004
MI,Great_Lakes_Energy_Electric_Cooperative,23888,8731713,87317130,MI048
MI,Midwest_Energy_Communications,359,172765,1727650,MI049
MI,Thumb_Electric_Cooperative,5745,2584571,25845710,MI037
MO,Black_River_Electric_Cooperative,10733,9346934,93469340,MO038
MO,Callaway_Electric_Cooperative,7,1449,14490,MO024
MO,Co_Mo_Electric,6427,2181353,21813530,MO047
MO,Consolidated_Electric_Cooperative_Missouri,1198,1422423,14224230,MO036
MO,Howell_Oregon_Electric_Cooperative,8984,8918243,89182430,MO049
MO,New_Mac_Electric_Cooperative,472,345547,3455470,MO048
MO,Osage_Valley_Electric_Cooperative,11845,9784328,97843280,MO037
MO,Ozarks_Electric_Cooperative,573,683609,6836090,MO030
MO,Pemiscot_Dunklin,2749,2940492,29404920,MO012
MO,Sac_Osage_Electric_Cooperative,7717,7252016,72520160,MO055
MO,SEMO_Electric_Cooperative,4691,3524244,35242440,MO031
MO,Three_Rivers_Electric_Cooperative,6337,5073239,50732390,MO045
MO,United_Electric_Cooperative,311,563037,5630370,MO075
MS,Alcorn_County_Electric_Power_Association,3448,922874,9228740,MS056
MS,Central_Electric_Power_Association,14658,5537856,55378560,MS022
MS,Coast_Electric_Power_Association,6228,1905834,19058340,MS028
MS,Delta_Electric_Power_Association,8768,7536591,75365910,MS034
MS,Dixie_Electric_Power_Association,9324,3572665,35726650,MS030
MS,East_Mississippi_Electric_Power_Association,13499,7027193,70271930,MS045
MS,Monroe_County_Electric_Power_Association,3429,1194215,11942150,MS001
