State, Name, RUSNo, Locations, Annual, 10 Year
AR,Arkansas_Valley_Electric_Cooperative,22420,11459702,114597020,AR013
AR,Ashley_Chicot_Electric_Cooperative,5286,3455623,34556230,AR031
AR,Farmers_Electric_Cooperative,6774,4778181,47781810,AR011
AR,First_Electric_Cooperative,25602,13729189,137291890,AR010
AR,Mississippi_County_Electric,2960,2069340,20693400,AR023
AR,North_Arkansas_Electric_Cooperative,12916,6330538,63305380,AR026
AR,OzarksGo,7218,2380848,23808480,AR024
AR,Petit_Jean_Electric_Cooperative,9746,6429060,64290600,AR028
AR,South_Central_Arkansas_Electric_Cooperative,7169,5714127,57141270,AR029
AR,Southwest_Arkansas_Electric_Cooperative,11574,6161252,61612520,AR012
AR,Woodruff_Electric_Cooperative_Corporation,14834,9234682,92346820,AR015
CO,Delta_Montrose_Electric_Association,4939,2964082,29640820,CO020
CO,Holy_Cross_Energy,5332,3800352,38003520,CO034
GA,Central_Georgia_Electric_Membership_Corporation,14715,4179194,41791940,GA058
GA,Satilla_Rural_Electric_Membership_Coorporation,13295,6979740,69797400,GA067
GA,Tri_County_Electric_Membership_Corporation,5171,1876093,18760930,GA094
IL,Corn_Belt_Energy_Corporation,16881,17188584,171885840,IL038
IL,Shelby_Electric_Cooperative,9276,10585974,105859740,IL029
KY,Kenergy,19184,10117468,101174680,KY065
MD,Southern_Maryland_Electric_Cooperative,4885,1325182,13251820,MD004
MI,Great_Lakes_Energy_Electric_Cooperative,40544,15079375,150793750,MI048
MI,Midwest_Energy_Communications,5159,1562786,15627860,MI049
MI,Thumb_Electric_Cooperative,23501,10889755,108897550,MI037
MO,Black_River_Electric_Cooperative,14508,13308517,133085170,MO038
MO,Callaway_Electric_Cooperative,908,255926,2559260,MO024
MO,Co_Mo_Electric,10889,4297532,42975320,MO047
MO,Consolidated_Electric_Cooperative_Missouri,3184,2794147,27941470,MO036
MO,Howell_Oregon_Electric_Cooperative,11161,11440275,114402750,MO049
MO,New_Mac_Electric_Cooperative,472,345547,3455470,MO048
MO,Osage_Valley_Electric_Cooperative,19290,13966413,139664130,MO037
MO,Ozarks_Electric_Cooperative,1274,1426543,14265430,MO030
MO,Pemiscot_Dunklin,3280,3608219,36082190,MO012
MO,Sac_Osage_Electric_Cooperative,13639,11442264,114422640,MO055
MO,SEMO_Electric_Cooperative,6912,5576810,55768100,MO031
MO,Three_Rivers_Electric_Cooperative,10897,7034534,70345340,MO045
MO,United_Electric_Cooperative,3211,2898509,28985090,MO075
MS,Alcorn_County_Electric_Power_Association,4232,1174682,11746820,MS056
MS,Central_Electric_Power_Association,20718,8798147,87981470,MS022
MS,Coast_Electric_Power_Association,7951,2739230,27392300,MS028
MS,Delta_Electric_Power_Association,15443,12984300,129843000,MS034
MS,Dixie_Electric_Power_Association,12945,4620072,46200720,MS030
MS,East_Mississippi_Electric_Power_Association,18557,10431795,104317950,MS045
MS,Monroe_County_Electric_Power_Association,5898,2016750,20167500,MS001
MS,Natchez_Trace_Electric_Power_Association,7203,3685594,36855940,MS050
MS,Northcentral_Electric_Power_Association,2907,537160,5371600,MS048
MS,Northeast_Mississippi_Electric_Power_Association,6175,2332553,23325530,MS024
MS,Pearl_River_Valley_Electric_Power_Association,23160,7216141,72161410,MS036
MS,Prentiss_County_Electric_Power_Association,6448,2109612,21096120,MS046
MS,Southern_Pine_Electric,33730,11665653,116656530,MS040
MS,Tallahatchie_Valley_Electric_Power_Association,11505,5892217,58922170,MS026
MS,Tippah_Electric_Power_Association,5312,2318378,23183780,MS047
MS,Tishomingo_County_Electric_Power_Association,7773,2771088,27710880,MS043
MS,Tombigbee_Electric_Power_Association,10867,2965956,29659560,MS049
MS,Yazoo_Valley_Electric_Power_Association,7225,5373387,53733870,MS020
NY,Otsego_Electric_Cooperative,4419,2489707,24897070,NY019
OH,Consolidated_Cooperative_Ohio,7064,2157052,21570520,OH059
OK,Canadian_Valley_Electric_Cooperative,12512,6852214,68522140,OK029
OK,Central_Electric_Cooperative_Oklahoma,10565,3065614,30656140,OK024
OK,Choctaw_Electric_Cooperative,5024,2408550,24085500,OK030
OK,Cookson_Hills_Electric_Cooperative,6744,1844854,18448540,OK035
OK,Cotton_Electric_Cooperative,7929,4906770,49067700,OK022
OK,East_Central_Oklahoma_Electric_Cooperative,10736,4058024,40580240,OK023
OK,Indian_Electric_Cooperative,5217,1759665,17596650,OK028
OK,Kiamichi_Electric_Cooperative,9261,6038322,60383220,OK033
OK,Oklahoma_Electric_Cooperative,15803,4268147,42681470,OK010
OK,Verdigris_Valley_Electric_Cooperative,14652,4604556,46045560,OK025
OR,Columbian_Basin_Electric_Cooperative,2657,2565131,25651310,OR029
OR,Coos_Curry_Electric_Cooperative,3582,3229618,32296180,OR021
SC,Berkeley,1671,784556,7845560,SC025
SC,Blue_Ridge_Electric_Cooperative,9867,2308423,23084230,SC038
SC,Broad_River_Electric_Cooperative,7193,2072232,20722320,SC033
SC,Edisto_Electric_Cooperative,16060,6826721,68267210,SC023
SC,Palmetto_Electric,5863,2416183,24161830,SC040
SC,Santee_Electric_Cooperative,6163,1970085,19700850,SC028
SC,Tri_County_Electric_Cooperative_SC,5492,1363821,13638210,SC032
SC,York_Electric_Cooperative,2925,664949,6649490,SC041
TN,Cumberland_Electric,11675,3842891,38428910,TN024
TN,Forked_Deer_Electric,3572,1505789,15057890,TN048
TN,Tennessee_Valley_Electric_Cooperative,2792,1362857,13628570,TN034
TX,Midsouth_Synergy,9600,4337783,43377830,TX115
VA,Central_Virginia_Electric_Cooperative,18701,4737094,47370940,VA029
VA,Mecklenburg_Electric_Cooperative,20376,6693311,66933110,VA031
VA,Prince_George_Electric_Cooperative,6852,2595529,25955290,rus
VA,Rappahannock_Electric_Cooperative,46884,14500215,145002150,VA054
WI,Pierce_Pepin_Cooperative_Services,5427,2715544,27155440,WI058

